date,location,species,batch_id,dph,stand_dph,speed,time_sec,dist_cm,TL,SL,BD,PA
2015/04/09,Boston University Lab,Elacatinus lori,46,20,0.67,4,652,2608,nd,nd,nd,nd
2015/04/09,Boston University Lab,Elacatinus lori,46,20,0.67,6,179,1074,nd,nd,nd,nd
2015/04/09,Boston University Lab,Elacatinus lori,46,20,0.67,8,136,1088,nd,nd,nd,nd
2015/04/09,Boston University Lab,Elacatinus lori,46,20,0.67,10,90,900,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,2,85,170,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,2,53,106,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,2,598,1196,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,4,26,104,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,4,103,412,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,4,42,168,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,6,26,156,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,6,74,444,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,6,95,570,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,8,6,48,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,8,33,264,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,8,26,208,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,10,19,190,nd,nd,nd,nd
2015/05/16,Field in Belize,Elacatinus lori,1,0,0,10,20,200,nd,nd,nd,nd
